BioProject acc,BioSample acc,SRA experiment entries,NCBI Nucleotide entries,Assay types,Center name,Instruments,Library layouts,Library sources,Organism,Host,Platform,Geo. loc. name,Collection date
PRJDB2873,SAMD00017226,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017234,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Xylocopa appendiculata circumvolans,Ion Torrent PGM,Japan:Shiga,6/16/2013
PRJDB2873,SAMD00017236,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Xylocopa appendiculata circumvolans,Ion Torrent PGM,Japan:Shiga,6/16/2013
PRJDB2873,SAMD00017238,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Xylocopa appendiculata circumvolans,Ion Torrent PGM,Japan:Shiga,6/16/2013
PRJDB2873,SAMD00017240,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/16/2013
PRJDB2873,SAMD00017242,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017244,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017246,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017252,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017254,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Bombus ardens ardens,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017256,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Bombus ardens ardens,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017261,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017263,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017265,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Bombus ardens ardens,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017267,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Bombus ardens ardens,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB2873,SAMD00017268,2,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Bombus ardens ardens,Ion Torrent PGM,Japan:Shiga,6/22/2013
PRJDB3349,SAMD00026405,1,0,AMPLICON,"Yamada Bee Company, Inc",454 GS FLX Titanium,SINGLE,METAGENOMIC,honeybee metagenome,Apis mellifera,454 GS FLX Titanium,Japan,2012
PRJDB3349,SAMD00026406,1,0,AMPLICON,"Yamada Bee Company, Inc",454 GS FLX Titanium,SINGLE,METAGENOMIC,honeybee metagenome,Apis mellifera,454 GS FLX Titanium,Japan,2012
PRJDB4237,SAMD00041258,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/1/2012
PRJDB4237,SAMD00041259,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/2/2012
PRJDB4237,SAMD00041260,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/3/2012
PRJDB4237,SAMD00041261,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/4/2012
PRJDB4237,SAMD00041262,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/5/2012
PRJDB4237,SAMD00041263,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/6/2012
PRJDB4237,SAMD00041264,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/7/2012
PRJDB4237,SAMD00041265,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/8/2012
PRJDB4237,SAMD00041266,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/9/2012
PRJDB4237,SAMD00041267,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/10/2012
PRJDB4237,SAMD00041268,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/11/2012
PRJDB4237,SAMD00041269,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/12/2012
PRJDB4237,SAMD00041270,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/13/2012
PRJDB4237,SAMD00041271,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/14/2012
PRJDB4237,SAMD00041272,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/15/2012
PRJDB4237,SAMD00041273,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/16/2012
PRJDB4237,SAMD00041274,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/17/2012
PRJDB4237,SAMD00041275,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/18/2012
PRJDB4237,SAMD00041276,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/19/2012
PRJDB4237,SAMD00041277,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/20/2012
PRJDB4237,SAMD00041278,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/21/2012
PRJDB4237,SAMD00041279,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/22/2012
PRJDB4237,SAMD00041280,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/23/2012
PRJDB4237,SAMD00041281,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/24/2012
PRJDB4237,SAMD00041282,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/25/2012
PRJDB4237,SAMD00041283,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/26/2012
PRJDB4237,SAMD00041284,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/27/2012
PRJDB4237,SAMD00041285,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/28/2012
PRJDB4237,SAMD00041286,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/29/2012
PRJDB4237,SAMD00041287,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/30/2012
PRJDB4237,SAMD00041288,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",8/31/2012
PRJDB4237,SAMD00041289,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",9/1/2012
PRJDB4237,SAMD00041290,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",9/6/2012
PRJDB4237,SAMD00041291,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",9/7/2012
PRJDB4237,SAMD00041292,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",9/8/2012
PRJDB4237,SAMD00041293,1,0,AMPLICON,"Newton, Biology, Indiana University",Illumina MiSeq,SINGLE,METAGENOMIC,gut metagenome,Apis mellifera,Illumina MiSeq,"USA:CA, Grass Valley",9/9/2012
PRJDB6279,SAMD00093090,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",PacBio RS II,SINGLE,GENOMIC,Varroa destructor,Apis mellifera,PacBio RS II,"Japan:Okinawa, OIST, Sea Side apiary",2016-11
PRJDB6279,SAMD00093091,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 2500,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 2500,"Japan:Okinawa, OIST, Sea Side apiary",2016-08
PRJDB6526,SAMD00113019,1,4,WGS,Obihiro University of Agriculture and Veterinary Medicine,PacBio RS II,SINGLE,GENOMIC,Melissococcus plutonius,Apis mellifera,PacBio RS II,Japan,
PRJDB6526,SAMD00113020,1,6,WGS,Obihiro University of Agriculture and Veterinary Medicine,PacBio RS II,SINGLE,GENOMIC,Melissococcus plutonius,Apis mellifera,PacBio RS II,Japan,
PRJDB9195,SAMD00206614,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"South Korea:Gwangju, Jeonlabug Province",1996-01
PRJDB9195,SAMD00206615,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Zhuhai county, Guangdong Province",2001-11
PRJDB9195,SAMD00206616,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Zhongshan, Guangdong Province",2002-04
PRJDB9195,SAMD00206617,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Dayao county, Yunnan Province",2002-04
PRJDB9195,SAMD00206618,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Yunnan Agricultural University, Kunming, Yunnan Province",2002-05
PRJDB9195,SAMD00206619,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Xishuangbanna, Yunnan Province",2002-04
PRJDB9195,SAMD00206620,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"China:Xishuangbanna, Yunnan Province",2002-04
PRJDB9195,SAMD00206621,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,Thailand:Chiang Mai University,2003-01
PRJDB9195,SAMD00206622,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,"Viet Nam:Phjong, Ninh Binh Province",1996-10
PRJDB9195,SAMD00206623,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis cerana,Illumina HiSeq 4000,Viet Nam:Hoc Chau,1998-11
PRJDB9195,SAMD00206624,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,South Korea:Jungup,1996-10
PRJDB9195,SAMD00206625,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,South Korea:Jungup,1996-10
PRJDB9195,SAMD00206626,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,China:Heilongjiang Province,2001-09
PRJDB9195,SAMD00206627,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,"China:Fengman, Lishu Co., Changchun, Jilin Province",2001-05
PRJDB9195,SAMD00206628,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,"China:Apiary of Jinzhong, Yuci, Shanxi Province",2001-06
PRJDB9195,SAMD00206629,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,"China:Mianzhu County, Sichuan Province",2001-09
PRJDB9195,SAMD00206630,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,"China:Zhongshan, Guangdong Province",2001-11
PRJDB9195,SAMD00206631,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,Viet Nam:Nho Quan,1996-10
PRJDB9195,SAMD00206632,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa destructor,Apis mellifera,Illumina HiSeq 4000,Viet Nam:Hoc Chau,1998-01
PRJDB9195,SAMD00206633,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Malaysia:UPM, Serdang, Kuala Lumpur",1995-03
PRJDB9195,SAMD00206634,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Viet Nam:Chauthanh Village, Bentra District",2003-03
PRJDB9195,SAMD00206635,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Viet Nam:Rach Gia Town, Kien Giang",2004-08
PRJDB9195,SAMD00206636,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Viet Nam:My tho City, Kien Giang",2004-08
PRJDB9195,SAMD00206637,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Viet Nam:My tho City, Kien Giang",2004-08
PRJDB9195,SAMD00206638,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Viet Nam:Giong Trom Town, Ben Tre",2004-08
PRJDB9195,SAMD00206639,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Indonesia:Parung Panjang, Java",1998-06
PRJDB9195,SAMD00206640,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Indonesia:Sukabumi, West Java",1998-06
PRJDB9195,SAMD00206641,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,Indonesia:Cililin,1998-06
PRJDB9195,SAMD00206642,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Indonesia:Johor, East Java",1998-06
PRJDB9195,SAMD00206643,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Indonesia:Gunung Arca, Sukabumi",2002-04
PRJDB9195,SAMD00206644,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Indonesia:Kuta, Lombok",1998-04
PRJDB9195,SAMD00206645,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,Papua New Guinea:Aiyura,1997-05
PRJDB9195,SAMD00206646,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,"Papua New Guinea:Goroka, Eastern Highlands Province",2008-05
PRJDB9195,SAMD00206647,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,Papua New Guinea:Daru,2008-06
PRJDB9195,SAMD00206648,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis cerana,Illumina HiSeq 4000,Papua New Guinea:Asaro,2015-11
PRJDB9195,SAMD00206649,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis mellifera,Illumina HiSeq 4000,"Papua New Guinea:Wabag, Enga Province",2008-06
PRJDB9195,SAMD00206650,1,0,WGS,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",Illumina HiSeq 4000,PAIRED,GENOMIC,Varroa jacobsoni,Apis mellifera,Illumina HiSeq 4000,"Papua New Guinea:Goroka, Eastern Highlands Province",2008-05
