Numenius minutus,"Host ""Numenius minutus"" was matched to ""Miscophus minutus"" 2495102"
Pternistis capensis,"Host ""Pternistis capensis"" was matched to ""Melitta capensis"" 288378"
Odontophorus guttatus,"Host ""Odontophorus guttatus"" was matched to ""Ectemnius guttatus"" 2495013"
Mangifera indica L.,"Host ""Mangifera indica L."" was matched to ""Apis indica"" 94129"
Haliotis rubra,"Host ""Haliotis rubra"" was matched to ""Leioproctus rubra"" 420763"
Phaseolus coccineus,"Host ""Phaseolus coccineus"" was matched to ""Bombus coccineus"" 395510"
Setaria pumila,"Host ""Setaria pumila"" was matched to ""Osmia pumila"" 1404169"
Cebuella pygmaea,"Host ""Cebuella pygmaea"" was matched to ""Nomada pygmaea"" 586928"
Lilium brownii var. viridulum,"Host ""Lilium brownii var. viridulum"" was matched to ""Eucera caspica var. nigrila"" 599118"
Aeluropus littoralis,"Host ""Aeluropus littoralis"" was matched to ""Pluto littoralis"" 2610111"
Chamaecrista fasciculata,"Host ""Chamaecrista fasciculata"" was matched to ""Melipona fasciculata"" 596912"
Dactylopius opuntiae,"Host ""Dactylopius opuntiae"" was matched to ""Diadasia opuntiae"" 143987"
Tadarida brasiliensis,"Host ""Tadarida brasiliensis"" was matched to ""Bombus brasiliensis"" 203807"
Antrozous pallidus,"Host ""Antrozous pallidus"" was matched to ""Philanthus pallidus"" 2495177"
Parafontaria laminata armigera,"Host ""Parafontaria laminata armigera"" was matched to ""Megachile laminata"" 1879077"
Physalis peruviana,"Host ""Physalis peruviana"" was matched to ""Eulaema peruviana"" 243845"
Phyla canescens,"Host ""Phyla canescens"" was matched to ""Panurgus canescens"" 465460"
Himalayan blackberry,"Host ""Himalayan blackberry"" was matched to ""Himalayan honeybee"" 183418"
Acropora humilis (hexacoral),"Host ""Acropora humilis (hexacoral)"" was matched to ""Bombus humilis"" 65597"
Maccace mulata,"Host ""Maccace mulata"" was matched to ""Partamona mulata"" 260187"
Trachymyrmex pomonae,"Host ""Trachymyrmex pomonae"" was matched to ""Dioxys pomonae"" 889159"
Polyphaga aegyptiaca,"Host ""Polyphaga aegyptiaca"" was matched to ""Melitta aegyptiaca"" 1266565"
Macrotermes natalensis,"Host ""Macrotermes natalensis"" was matched to ""Colletes natalensis"" 420741"
Melipona sp.,"Host ""Melipona sp."" was matched to ""Melipona"" 28651"
Heosemys grandis,"Host ""Heosemys grandis"" was matched to ""Stizus grandis"" 420964"
Elaeocarpus reticulatus,"Host ""Elaeocarpus reticulatus"" was matched to ""Sphecodes reticulatus"" 1299744"
Pternistis hildebrandti,"Host ""Pternistis hildebrandti"" was matched to ""Plebeina hildebrandti"" 398135"
Crypturellus strigulosus,"Host ""Crypturellus strigulosus"" was matched to ""Palmodes strigulosus"" 2495159"
Crypturellus obsoletus,"Host ""Crypturellus obsoletus"" was matched to ""Tachytes obsoletus"" 2495334"
Psophia viridis,"Host ""Psophia viridis"" was matched to ""Xylocopa viridis"" 1818118"
Mico argentatus,"Host ""Mico argentatus"" was matched to ""Liris argentatus"" 2680648"
Hexadella cf. dedritifera,"Host ""Hexadella cf. dedritifera"" was matched to ""Bombus cf. semenovi YL-2017"" 2044545"
Ircinia sp. 1,"Host ""Ircinia sp. 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Ircinia sp. 2,"Host ""Ircinia sp. 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Salix cinerea,"Host ""Salix cinerea"" was matched to ""Pseudapis cinerea"" 2448195"
Rhododendron ferrugineum,"Host ""Rhododendron ferrugineum"" was matched to ""Icteranthidium ferrugineum"" 1004232"
Dillenia indica,"Host ""Dillenia indica"" was matched to ""Apis indica"" 94129"
Plakobranchus ocellatus,"Host ""Plakobranchus ocellatus"" was matched to ""Anacrabro ocellatus"" 253735"
Mesoclemmys nasuta,"Host ""Mesoclemmys nasuta"" was matched to ""Stelis nasuta"" 1352247"
nomo sapiens,"Host ""nomo sapiens"" was matched to ""Trigona sapiens"" 270523"
Coffea arabica (L.),"Host ""Coffea arabica (L.)"" was matched to ""Nitela arabica"" 2495111"
Plakina sp. 2 CCPH-2017,"Host ""Plakina sp. 2 CCPH-2017"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Chrysemys picta,"Host ""Chrysemys picta"" was matched to ""Epicharis picta"" 598442"
queen bee 3,"Host ""queen bee 3"" was matched to ""bee"" 7460"
queen bee 2,"Host ""queen bee 2"" was matched to ""bee"" 7460"
queen bee 1,"Host ""queen bee 1"" was matched to ""bee"" 7460"
Tsitsikamma sp. 1 SHH-2016,"Host ""Tsitsikamma sp. 1 SHH-2016"" was matched to ""Corynura sp. rgv 1"" 1906598"
Tsitsikamma sp. 2 SHH-2016,"Host ""Tsitsikamma sp. 2 SHH-2016"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Lake Erie and St. Clair,"Host ""Lake Erie and St. Clair"" was matched to ""bumble bees and honey bees"" 7458"
Populus alba x (P. davidiana + P. simonii) x P. tomentosa,"Host ""Populus alba x (P. davidiana + P. simonii) x P. tomentosa"" was matched to ""Melitta tomentosa"" 1266576"
Ictalurus punctatus,"Host ""Ictalurus punctatus"" was matched to ""Hylaeus punctatus"" 313026"
Anastrepha ludens (wild) field collected strain,"Host ""Anastrepha ludens (wild) field collected strain"" was matched to ""field digger wasp"" 1507147"
Hypomesus nipponensis,"Host ""Hypomesus nipponensis"" was matched to ""Eucera nipponensis"" 599119"
Hymedesmia methanophila isolate N,"Host ""Hymedesmia methanophila isolate N"" was matched to ""Homalictus sp. N JBD-2020"" 2718750"
Pelargonium x hortorum,"Host ""Pelargonium x hortorum"" was matched to ""Bombus hortorum"" 85660"
Zinnia elegans,"Host ""Zinnia elegans"" was matched to ""Hylaeus elegans"" 288352"
Salvia splendens,"Host ""Salvia splendens"" was matched to ""Agapostemon splendens"" 1479665"
Daphnia longispina,"Host ""Daphnia longispina"" was matched to ""Hoplitis longispina"" 1148975"
Simarouba glauca,"Host ""Simarouba glauca"" was matched to ""Apis glauca"" 889125"
Pan troglodytes verus (Western chimpanzee),"Host ""Pan troglodytes verus (Western chimpanzee)"" was matched to ""Bembix troglodytes"" 420962"
Atemnus politus,"Host ""Atemnus politus"" was matched to ""Philanthus politus"" 926301"
Zingiber montanum,"Host ""Zingiber montanum"" was matched to ""Anthidium montanum"" 1542515"
Isiodictya sp. 2 -R5,"Host ""Isiodictya sp. 2 -R5"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Isiodictya sp. 2 -R4,"Host ""Isiodictya sp. 2 -R4"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Isiodictya sp. 2 -R3,"Host ""Isiodictya sp. 2 -R3"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Isiodictya sp. 2 -R2,"Host ""Isiodictya sp. 2 -R2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Isiodictya sp. 2 -R1,"Host ""Isiodictya sp. 2 -R1"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Olea europaea,"Host ""Olea europaea"" was matched to ""Macropis europaea"" 253715"
Camellia sinensis,"Host ""Camellia sinensis"" was matched to ""Xylocopa sinensis"" 1985526"
Halophila australis,"Host ""Halophila australis"" was matched to ""Nomada australis"" 586916"
Terminalia mucronata,"Host ""Terminalia mucronata"" was matched to ""Andrena mucronata"" 2819494"
Pan troglodytes,"Host ""Pan troglodytes"" was matched to ""Bembix troglodytes"" 420962"
Pseudacris crucifer,"Host ""Pseudacris crucifer"" was matched to ""Heriades crucifer"" 549060"
Gut of wasp,"Host ""Gut of wasp"" was matched to ""field digger wasp"" 1507147"
solitary wasp,"Host ""solitary wasp"" was matched to ""field digger wasp"" 1507147"
carpenter bee,"Host ""carpenter bee"" was matched to ""common carpenter bee"" 135671"
Atta texana,"Host ""Atta texana"" was matched to ""Svastra texana"" 599475"
wasp,"Host ""wasp"" was matched to ""field digger wasp"" 1507147"
Branta canadensis,"Host ""Branta canadensis"" was matched to ""Prionyx canadensis"" 2086621"
Populus x canadensis,"Host ""Populus x canadensis"" was matched to ""Prionyx canadensis"" 2086621"
Populus tomentosa,"Host ""Populus tomentosa"" was matched to ""Melitta tomentosa"" 1266576"
Litomosoides brasiliensis,"Host ""Litomosoides brasiliensis"" was matched to ""Bombus brasiliensis"" 203807"
Oreochromis niloticus,"Host ""Oreochromis niloticus"" was matched to ""Stizus niloticus"" 2495237"
Asterionellopsis glacialis strain A3,"Host ""Asterionellopsis glacialis strain A3"" was matched to ""Bombus glacialis"" 1985759"
Sinularia sp. 2,"Host ""Sinularia sp. 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Briareum sp. 2,"Host ""Briareum sp. 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Hipposideros armiger 3,"Host ""Hipposideros armiger 3"" was matched to ""Andrena sp. 3 MG-2020"" 2767514"
Hipposideros armiger 2,"Host ""Hipposideros armiger 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Hipposideros armiger 1,"Host ""Hipposideros armiger 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Myotis petax 3,"Host ""Myotis petax 3"" was matched to ""Andrena sp. 3 MG-2020"" 2767514"
Myotis petax 2,"Host ""Myotis petax 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Myotis petax 1,"Host ""Myotis petax 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Taphozous melanopogon 3,"Host ""Taphozous melanopogon 3"" was matched to ""Andrena sp. 3 MG-2020"" 2767514"
Taphozous melanopogon 2,"Host ""Taphozous melanopogon 2"" was matched to ""Melitta sp. 2 SD-2012"" 1267530"
Taphozous melanopogon 1,"Host ""Taphozous melanopogon 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Callysponga elegans,"Host ""Callysponga elegans"" was matched to ""Hylaeus elegans"" 288352"
Monochamus alternatus Hope,"Host ""Monochamus alternatus Hope"" was matched to ""Sphecodes alternatus"" 1299517"
Cyphomyrmex costatus,"Host ""Cyphomyrmex costatus"" was matched to ""Carinostigmus costatus"" 1665546"
Mimosa gracilis,"Host ""Mimosa gracilis"" was matched to ""Nomada gracilis"" 586922"
Mimosa vestita,"Host ""Mimosa vestita"" was matched to ""Xylocopa vestita"" 1985494"
Scoloplos cf. armiger,"Host ""Scoloplos cf. armiger"" was matched to ""Bombus cf. semenovi YL-2017"" 2044545"
Pygospio elegans,"Host ""Pygospio elegans"" was matched to ""Hylaeus elegans"" 288352"
Travisia forbesii,"Host ""Travisia forbesii"" was matched to ""Andrena forbesii"" 205205"
Peromyscus leucopus,"Host ""Peromyscus leucopus"" was matched to ""Lasioglossum leucopus"" 1039738"
Lanuginellinae gen. et sp. indet.,"Host ""Lanuginellinae gen. et sp. indet."" was matched to ""Apidae gen. LBC-2008"" 545401"
Dicoma anomala,"Host ""Dicoma anomala"" was matched to ""Centris anomala"" 598228"
Aextoxicon punctatum,"Host ""Aextoxicon punctatum"" was matched to ""Anthidium punctatum"" 549043"
Paris polyphylla var. yunnanensis,"Host ""Paris polyphylla var. yunnanensis"" was matched to ""Nomia yunnanensis"" 2010211"
Actinidia chinensis,"Host ""Actinidia chinensis"" was matched to ""Bombus chinensis"" 395516"
Colobopsis saundersi,"Host ""Colobopsis saundersi"" was matched to ""Tachysphex saundersi"" 2495315"
Lumbricus terrestris,"Host ""Lumbricus terrestris"" was matched to ""Apis terrestris"" 30195"
Mimachlamys nobilis,"Host ""Mimachlamys nobilis"" was matched to ""Nomada nobilis"" 601725"
Oecophylla smaragdina,"Host ""Oecophylla smaragdina"" was matched to ""Exaerete smaragdina"" 243851"
Crotalaria spectabilis,"Host ""Crotalaria spectabilis"" was matched to ""Eucera spectabilis"" 599161"
Anastrepha fraterculus sp. 1 - Female Adult 15-day,"Host ""Anastrepha fraterculus sp. 1 - Female Adult 15-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Male Adult 15-day,"Host ""Anastrepha fraterculus sp. 1 - Male Adult 15-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Female Adult 5-day,"Host ""Anastrepha fraterculus sp. 1 - Female Adult 5-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Male Adult 5-day,"Host ""Anastrepha fraterculus sp. 1 - Male Adult 5-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Female Adult 1-day,"Host ""Anastrepha fraterculus sp. 1 - Female Adult 1-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Male Adult 1-day,"Host ""Anastrepha fraterculus sp. 1 - Male Adult 1-day"" was matched to ""Protandrena fraterculus"" 322063"
Anastrepha fraterculus sp. 1 - Larva,"Host ""Anastrepha fraterculus sp. 1 - Larva"" was matched to ""Protandrena fraterculus"" 322063"
Acrosternum arabicum,"Host ""Acrosternum arabicum"" was matched to ""Eremiasphecium arabicum"" 2495020"
Pelodiscus sinensis,"Host ""Pelodiscus sinensis"" was matched to ""Xylocopa sinensis"" 1985526"
Apis mellifera subsp. ligustica,"Host ""Apis mellifera subsp. ligustica"" was matched to ""Apis mellifera ligustica"" 7469"
Vibrio alginolyticus LF TCBS 15,"Host ""Vibrio alginolyticus LF TCBS 15"" was matched to ""Hylaeus sp. 15 PK-2011"" 1084788"
Scomber japonicus peruanus,"Host ""Scomber japonicus peruanus"" was matched to ""Pelopaeus japonicus"" 1508443"
Xenops rutilus,"Host ""Xenops rutilus"" was matched to ""Philanthus rutilus"" 1167286"
Pyrrhura melanura,"Host ""Pyrrhura melanura"" was matched to ""Melitta melanura"" 1266572"
Trogon viridis,"Host ""Trogon viridis"" was matched to ""Xylocopa viridis"" 1818118"
Coua caerulea,"Host ""Coua caerulea"" was matched to ""Aglae caerulea"" 243854"
Porzana carolina,"Host ""Porzana carolina"" was matched to ""Andrena carolina"" 586956"
Ardea melanocephala,"Host ""Ardea melanocephala"" was matched to ""Osmia melanocephala"" 1404110"
Sarothrura rufa,"Host ""Sarothrura rufa"" was matched to ""Osmia rufa"" 1437190"
Meconopsis grandis,"Host ""Meconopsis grandis"" was matched to ""Stizus grandis"" 420964"
Coragyps atratus,"Host ""Coragyps atratus"" was matched to ""Liris atratus"" 2495069"
Xiphorhynchus obsoletus,"Host ""Xiphorhynchus obsoletus"" was matched to ""Tachytes obsoletus"" 2495334"
Premnoplex brunnescens,"Host ""Premnoplex brunnescens"" was matched to ""Hoplitis brunnescens"" 1148845"
Nasica longirostris,"Host ""Nasica longirostris"" was matched to ""Neofidelia longirostris"" 1004201"
Thamnophilus punctatus,"Host ""Thamnophilus punctatus"" was matched to ""Hylaeus punctatus"" 313026"
Passer melanurus,"Host ""Passer melanurus"" was matched to ""Bombus melanurus"" 184053"
Lontra canadensis,"Host ""Lontra canadensis"" was matched to ""Prionyx canadensis"" 2086621"
Clathrina sp. A CAG-2018,"Host ""Clathrina sp. A CAG-2018"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Leucetta sp. A CAG-2018,"Host ""Leucetta sp. A CAG-2018"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Clathrina sp. B CAG-2018,"Host ""Clathrina sp. B CAG-2018"" was matched to ""Plebeia sp. B CR-2009"" 596927"
Leucetta sp. B CAG-2018,"Host ""Leucetta sp. B CAG-2018"" was matched to ""Plebeia sp. B CR-2009"" 596927"
Geopelia placida,"Host ""Geopelia placida"" was matched to ""Megachile placida"" 2010206"
Geopelia humeralis,"Host ""Geopelia humeralis"" was matched to ""Andrena humeralis"" 205232"
Geopelia cuneata,"Host ""Geopelia cuneata"" was matched to ""Nomada cuneata"" 601462"
Leucosarcia melanoleuca,"Host ""Leucosarcia melanoleuca"" was matched to ""Trigona melanoleuca"" 398168"
Petrophassa rufipennis,"Host ""Petrophassa rufipennis"" was matched to ""Sarocolletes rufipennis"" 2510381"
Streptopelia lugens,"Host ""Streptopelia lugens"" was matched to ""Pemphredon lugens"" 1507158"
Chalcophaps indica,"Host ""Chalcophaps indica"" was matched to ""Apis indica"" 94129"
Ducula pacifica,"Host ""Ducula pacifica"" was matched to ""Melecta pacifica"" 582919"
Petrophassa albipennis,"Host ""Petrophassa albipennis"" was matched to ""Trigona albipennis"" 478150"
Geophaps smithii,"Host ""Geophaps smithii"" was matched to ""Thyreus smithii"" 600268"
Nothoprocta ornata,"Host ""Nothoprocta ornata"" was matched to ""Fidelia ornata"" 342855"
Gymnobucco calvus,"Host ""Gymnobucco calvus"" was matched to ""Hylaeus calvus"" 313020"
Tinamus guttatus,"Host ""Tinamus guttatus"" was matched to ""Ectemnius guttatus"" 2495013"
Turnix varia,"Host ""Turnix varia"" was matched to ""Centris varia"" 598401"
Recurvirostra americana,"Host ""Recurvirostra americana"" was matched to ""Bembix americana"" 288407"
Eudromia elegans,"Host ""Eudromia elegans"" was matched to ""Hylaeus elegans"" 288352"
Gelochelidon nilotica,"Host ""Gelochelidon nilotica"" was matched to ""Bembix nilotica"" 2494867"
Dendrocincla fuliginosa,"Host ""Dendrocincla fuliginosa"" was matched to ""Melipona fuliginosa"" 486750"
Himantopus mexicanus,"Host ""Himantopus mexicanus"" was matched to ""Bombus mexicanus"" 229485"
Myrmetherula fulviventris,"Host ""Myrmetherula fulviventris"" was matched to ""Trigona fulviventris"" 478158"
Sclerurus guatemalensis,"Host ""Sclerurus guatemalensis"" was matched to ""Xylocopa guatemalensis"" 1985565"
Pyrrhura lepida anerythra,"Host ""Pyrrhura lepida anerythra"" was matched to ""Eucera lepida"" 599095"
Cinclosoma punctatum,"Host ""Cinclosoma punctatum"" was matched to ""Anthidium punctatum"" 549043"
Pitta iris,"Host ""Pitta iris"" was matched to ""Xylocopa iris"" 135672"
Notamacropus agilis,"Host ""Notamacropus agilis"" was matched to ""Liris agilis"" 2495068"
Ortalis vetula,"Host ""Ortalis vetula"" was matched to ""Andrena vetula"" 2819477"
Hylocichla mustelina,"Host ""Hylocichla mustelina"" was matched to ""Osmia mustelina"" 1404125"
Alexandrium minutum,"Host ""Alexandrium minutum"" was matched to ""Chelostoma minutum"" 549762"
Alexandrium minutum (dinoflagellate),"Host ""Alexandrium minutum (dinoflagellate)"" was matched to ""Chelostoma minutum"" 549762"
Alexandium minutum,"Host ""Alexandium minutum"" was matched to ""Chelostoma minutum"" 549762"
Siganus guttatus,"Host ""Siganus guttatus"" was matched to ""Ectemnius guttatus"" 2495013"
Kaempferia elegans,"Host ""Kaempferia elegans"" was matched to ""Hylaeus elegans"" 288352"
Alopochen aegyptiaca,"Host ""Alopochen aegyptiaca"" was matched to ""Melitta aegyptiaca"" 1266565"
Crotalaria pallida,"Host ""Crotalaria pallida"" was matched to ""Bembix pallida"" 2578444"
Bactrocera dorsalis,"Host ""Bactrocera dorsalis"" was matched to ""Trigona dorsalis"" 60908"
Nenga pumila,"Host ""Nenga pumila"" was matched to ""Osmia pumila"" 1404169"
Pseudotsuga sinensis var. wilsoniana,"Host ""Pseudotsuga sinensis var. wilsoniana"" was matched to ""Xylocopa sinensis"" 1985526"
Megadyptes antipodes,"Host ""Megadyptes antipodes"" was matched to ""Callomelitta antipodes"" 253568"
Cornitermes sp. A,"Host ""Cornitermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Sinocapritermes sp. 1,"Host ""Sinocapritermes sp. 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Mirocapritermes sp. 1,"Host ""Mirocapritermes sp. 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Procapritermes sp. 1,"Host ""Procapritermes sp. 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Pericapritermes sp. 4,"Host ""Pericapritermes sp. 4"" was matched to ""Hylaeus sp. 4 PK-2011"" 1084796"
Amitermes sp. 1,"Host ""Amitermes sp. 1"" was matched to ""Corynura sp. rgv 1"" 1906598"
Microcerotermes sp. E,"Host ""Microcerotermes sp. E"" was matched to ""Trypoxylon sp. E CPS-2020"" 2707978"
Hospitalitermes sp. D,"Host ""Hospitalitermes sp. D"" was matched to ""Homalictus sp. D JBD-2020"" 2718743"
Subulitermes-group sp. G,"Host ""Subulitermes-group sp. G"" was matched to ""Homalictus sp. G JBD-2020"" 2718745"
Diversitermes sp. A,"Host ""Diversitermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Subulitermes-group sp. A,"Host ""Subulitermes-group sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Trinevitermes sp. A,"Host ""Trinevitermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Aparatermes sp. A,"Host ""Aparatermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Parrhinotermes sp. A,"Host ""Parrhinotermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Glyptotermes sp. 3,"Host ""Glyptotermes sp. 3"" was matched to ""Andrena sp. 3 MG-2020"" 2767514"
Neotermes sp. A,"Host ""Neotermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Glyptotermes sp. A,"Host ""Glyptotermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Rugitermes sp. A,"Host ""Rugitermes sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Kalotermitidae sp. A,"Host ""Kalotermitidae sp. A"" was matched to ""Plebeia sp. A CR-2009"" 588951"
Solanum lycopersicum L. var. Mobil,"Host ""Solanum lycopersicum L. var. Mobil"" was matched to ""Eucera caspica var. nigrila"" 599118"
Platismatia glauca,"Host ""Platismatia glauca"" was matched to ""Apis glauca"" 889125"
yellow faced bee,"Host ""yellow faced bee"" was matched to ""bee"" 7460"
Camellia sinensis cv. Maoxie,"Host ""Camellia sinensis cv. Maoxie"" was matched to ""Xylocopa sinensis"" 1985526"
Camellia sinensis cv. Tieguanyin,"Host ""Camellia sinensis cv. Tieguanyin"" was matched to ""Xylocopa sinensis"" 1985526"
Dendrocopos major,"Host ""Dendrocopos major"" was matched to ""Fidelia major"" 253596"
Persea americana,"Host ""Persea americana"" was matched to ""Bembix americana"" 288407"
Entylia carinata,"Host ""Entylia carinata"" was matched to ""Eucera carinata"" 2518863"
Schizoxylon albescens,"Host ""Schizoxylon albescens"" was matched to ""Melitturga albescens"" 465456"
Agave americana L.,"Host ""Agave americana L."" was matched to ""Bembix americana"" 288407"
Haliclona simulans,"Host ""Haliclona simulans"" was matched to ""Colletes simulans"" 395738"
Hirundo rustica,"Host ""Hirundo rustica"" was matched to ""Partamona rustica"" 597140"
Konosirus punctatus,"Host ""Konosirus punctatus"" was matched to ""Hylaeus punctatus"" 313026"
Spongia barbara,"Host ""Spongia barbara"" was matched to ""Andrena barbara"" 1769567"
"isolated from hepatopancreas of zebra mussel, Dreissena polymorpha (Pallas) collected in Zelivka dam, Czech Republic;","Host ""isolated from hepatopancreas of zebra mussel, Dreissena polymorpha (Pallas) collected in Zelivka dam, Czech Republic;"" was matched to ""Bombus laesus Morawitz in Fedtschenko, 1875"" 395539"
Coleoptera sp. large,"Host ""Coleoptera sp. large"" was matched to ""large carpenter bees"" 7476"
Arabis alpina,"Host ""Arabis alpina"" was matched to ""Dufourea alpina"" 1542527"
Rhea americana,"Host ""Rhea americana"" was matched to ""Bembix americana"" 288407"
Turnix pyrrhothorax,"Host ""Turnix pyrrhothorax"" was matched to ""Megachile pyrrhothorax"" 1879097"
Merops ornatus,"Host ""Merops ornatus"" was matched to ""Hylaeus ornatus"" 2340150"
Treron calvus,"Host ""Treron calvus"" was matched to ""Hylaeus calvus"" 313020"
Trogon personatus,"Host ""Trogon personatus"" was matched to ""Bombus personatus"" 395551"
Smithornis capensis,"Host ""Smithornis capensis"" was matched to ""Melitta capensis"" 288378"
Buteo jamaicensis harlani,"Host ""Buteo jamaicensis harlani"" was matched to ""Sphex jamaicensis"" 1977954"
Cephalopterus ornatus,"Host ""Cephalopterus ornatus"" was matched to ""Hylaeus ornatus"" 2340150"
Dysithamnus puncticeps,"Host ""Dysithamnus puncticeps"" was matched to ""Sphecodes puncticeps"" 1126399"
Ducula bicolor,"Host ""Ducula bicolor"" was matched to ""Osmia bicolor"" 549096"
Echinacea purpurea,"Host ""Echinacea purpurea"" was matched to ""Euglossa purpurea"" 516789"
Poecillastra compressa,"Host ""Poecillastra compressa"" was matched to ""Ampulex compressa"" 860918"
Porphyra yezoensis Ueda,"Host ""Porphyra yezoensis Ueda"" was matched to ""Bombus yezoensis"" 130716"
Ovis canadensis,"Host ""Ovis canadensis"" was matched to ""Prionyx canadensis"" 2086621"
Abies concolor,"Host ""Abies concolor"" was matched to ""Psenulus concolor"" 1124887"
Hamamelis vernalis,"Host ""Hamamelis vernalis"" was matched to ""Stelis vernalis"" 586950"
Picea rubens,"Host ""Picea rubens"" was matched to ""Andrena rubens"" 205249"
Gypaetus barbatus,"Host ""Gypaetus barbatus"" was matched to ""Liphanthus barbatus"" 1955946"
Linum austriacum ssp. austriacum,"Host ""Linum austriacum ssp. austriacum"" was matched to ""Rhopalum austriacum"" 2495208"
Veronaeopsis simplex Y34,"Host ""Veronaeopsis simplex Y34"" was matched to ""Andrena simplex"" 205252"
Triepeolus sp.,"Host ""Triepeolus sp."" was matched to ""Triepeolus"" 156367"
Cyclura cornuta,"Host ""Cyclura cornuta"" was matched to ""Osmia cornuta"" 185587"
Testudo graeca,"Host ""Testudo graeca"" was matched to ""Astata graeca"" 2494830"
Tribulus terrestris,"Host ""Tribulus terrestris"" was matched to ""Apis terrestris"" 30195"
Tetraena simplex,"Host ""Tetraena simplex"" was matched to ""Andrena simplex"" 205252"
Anopheles sinensis,"Host ""Anopheles sinensis"" was matched to ""Xylocopa sinensis"" 1985526"
