BioProject acc,BioSample acc,SRA experiment entries,NCBI Nucleotide entries,Host,Organism,Collection date,Geo. loc. name,Library source(s),Library layout(s),Assay type(s),Instrument(s),Center name,BioSample package acc.
PRJDB4237,SAMD00041274,1,0,Apis mellifera,gut metagenome,8/17/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041275,1,0,Apis mellifera,gut metagenome,8/18/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041276,1,0,Apis mellifera,gut metagenome,8/19/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041277,1,0,Apis mellifera,gut metagenome,8/20/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041278,1,0,Apis mellifera,gut metagenome,8/21/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041279,1,0,Apis mellifera,gut metagenome,8/22/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041280,1,0,Apis mellifera,gut metagenome,8/23/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041281,1,0,Apis mellifera,gut metagenome,8/24/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041282,1,0,Apis mellifera,gut metagenome,8/25/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041283,1,0,Apis mellifera,gut metagenome,8/26/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041284,1,0,Apis mellifera,gut metagenome,8/27/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041285,1,0,Apis mellifera,gut metagenome,8/28/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041286,1,0,Apis mellifera,gut metagenome,8/29/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041287,1,0,Apis mellifera,gut metagenome,8/30/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041288,1,0,Apis mellifera,gut metagenome,8/31/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041289,1,0,Apis mellifera,gut metagenome,9/1/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041290,1,0,Apis mellifera,gut metagenome,9/6/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041291,1,0,Apis mellifera,gut metagenome,9/7/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041292,1,0,Apis mellifera,gut metagenome,9/8/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041293,1,0,Apis mellifera,gut metagenome,9/9/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB6279,SAMD00093090,1,0,Apis mellifera,Varroa destructor,2016-11,"Japan:Okinawa, OIST, Sea Side apiary",GENOMIC,SINGLE,WGS,PacBio RS II,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.5.0
PRJDB6279,SAMD00093091,1,0,Apis mellifera,Varroa destructor,2016-08,"Japan:Okinawa, OIST, Sea Side apiary",GENOMIC,PAIRED,WGS,Illumina HiSeq 2500,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.5.0
PRJDB6526,SAMD00113019,1,4,Apis mellifera,Melissococcus plutonius,,Japan,GENOMIC,SINGLE,WGS,PacBio RS II,Obihiro University of Agriculture and Veterinary Medicine,MIGS.ba.5.0
PRJDB6526,SAMD00113020,1,6,Apis mellifera,Melissococcus plutonius,,Japan,GENOMIC,SINGLE,WGS,PacBio RS II,Obihiro University of Agriculture and Veterinary Medicine,MIGS.ba.5.0
PRJDB9195,SAMD00206614,1,0,Apis cerana,Varroa destructor,1996-01,"South Korea:Gwangju, Jeonlabug Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206615,1,0,Apis cerana,Varroa destructor,2001-11,"China:Zhuhai county, Guangdong Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206616,1,0,Apis cerana,Varroa destructor,2002-04,"China:Zhongshan, Guangdong Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206617,1,0,Apis cerana,Varroa destructor,2002-04,"China:Dayao county, Yunnan Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206618,1,0,Apis cerana,Varroa destructor,2002-05,"China:Yunnan Agricultural University, Kunming, Yunnan Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206619,1,0,Apis cerana,Varroa destructor,2002-04,"China:Xishuangbanna, Yunnan Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206620,1,0,Apis cerana,Varroa destructor,2002-04,"China:Xishuangbanna, Yunnan Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206621,1,0,Apis cerana,Varroa destructor,2003-01,Thailand:Chiang Mai University,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206622,1,0,Apis cerana,Varroa destructor,1996-10,"Viet Nam:Phjong, Ninh Binh Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206623,1,0,Apis cerana,Varroa destructor,1998-11,Viet Nam:Hoc Chau,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206624,1,0,Apis mellifera,Varroa destructor,1996-10,South Korea:Jungup,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206625,1,0,Apis mellifera,Varroa destructor,1996-10,South Korea:Jungup,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206626,1,0,Apis mellifera,Varroa destructor,2001-09,China:Heilongjiang Province,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206627,1,0,Apis mellifera,Varroa destructor,2001-05,"China:Fengman, Lishu Co., Changchun, Jilin Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206628,1,0,Apis mellifera,Varroa destructor,2001-06,"China:Apiary of Jinzhong, Yuci, Shanxi Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206629,1,0,Apis mellifera,Varroa destructor,2001-09,"China:Mianzhu County, Sichuan Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206630,1,0,Apis mellifera,Varroa destructor,2001-11,"China:Zhongshan, Guangdong Province",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206631,1,0,Apis mellifera,Varroa destructor,1996-10,Viet Nam:Nho Quan,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206632,1,0,Apis mellifera,Varroa destructor,1998-01,Viet Nam:Hoc Chau,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206633,1,0,Apis cerana,Varroa jacobsoni,1995-03,"Malaysia:UPM, Serdang, Kuala Lumpur",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206634,1,0,Apis cerana,Varroa jacobsoni,2003-03,"Viet Nam:Chauthanh Village, Bentra District",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206635,1,0,Apis cerana,Varroa jacobsoni,2004-08,"Viet Nam:Rach Gia Town, Kien Giang",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206636,1,0,Apis cerana,Varroa jacobsoni,2004-08,"Viet Nam:My tho City, Kien Giang",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206637,1,0,Apis cerana,Varroa jacobsoni,2004-08,"Viet Nam:My tho City, Kien Giang",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206638,1,0,Apis cerana,Varroa jacobsoni,2004-08,"Viet Nam:Giong Trom Town, Ben Tre",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206639,1,0,Apis cerana,Varroa jacobsoni,1998-06,"Indonesia:Parung Panjang, Java",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206640,1,0,Apis cerana,Varroa jacobsoni,1998-06,"Indonesia:Sukabumi, West Java",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206641,1,0,Apis cerana,Varroa jacobsoni,1998-06,Indonesia:Cililin,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206642,1,0,Apis cerana,Varroa jacobsoni,1998-06,"Indonesia:Johor, East Java",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206643,1,0,Apis cerana,Varroa jacobsoni,2002-04,"Indonesia:Gunung Arca, Sukabumi",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206644,1,0,Apis cerana,Varroa jacobsoni,1998-04,"Indonesia:Kuta, Lombok",GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
PRJDB9195,SAMD00206645,1,0,Apis cerana,Varroa jacobsoni,1997-05,Papua New Guinea:Aiyura,GENOMIC,PAIRED,WGS,Illumina HiSeq 4000,"Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology",MIGS.eu.host-associated.5.0
